file,f149,g149
01-1106401006200408.xlsx,240.0, 
02-1106401006200360.xlsx,254750.0, 
03-1106400603100127.xlsx,120000.0,216000.0
04-1106401006200076.xlsx,4000000.0,239600.0
05-1106401807000202.xlsx,720.0,43200.0
06-1106402700100170.xlsx,23520.0,38102.4
07-1106401006200050.xlsx,5000.0,7500.0
08-1119500100844009 Revisado.xlsx,1200.0,20400.0
09-1119500100441303.xlsx,600.0,10200.0
10-1106400100100038.xlsx,100000000.0,2000000.0
100-1106401005201079.xlsx,600.0,16200.0
101-1106401005200714.xlsx,2200000.0,3630000.0
102-1106401005200552.xlsx,300.0,807.0
103-1106401005900538 MULTI AD.xlsx,1552.0, 
103_110640100590053-8 UNIDADES MULTIBACILAR ADULTO.xls,error,error
104-5106401005900510 MULTI PED.xlsx,109.0, 
104_510640100590051-0 UNIDADES MULTIBACILA PEDIµTRICO.xls,error,error
105-1106400100600111.xlsx,5500000.0,3800499.9999999995
106-1106400100400600.xlsx,5000000.0,336500.0
107-1106400100500192.xlsx,22500000.0,967499.9999999999
108-1106400100400619.xlsx,50000.0,113999.99999999999
109-1106400402300080.xlsx,50000.0,17000.0
11-1106400804200323.xlsx,60000.0,36000.0
110-1106401807000504.xlsx,10000.0,74000.0
111-1106401406601205.xlsx,300.0,1350.0
112-1106400804100094.xlsx,3000.0,600.0
113-1106400804100345.xlsx,20000.0,3400.0000000000005
114-1106400804100310.xlsx,6500000.0,1105000.0
115-1106400804100833.xlsx,1500.0,4200.0
116-1106400804100787.xlsx,1300000.0,1560000.0
117-1106400804100825.xlsx,1200000.0,2172000.0
118-1106400603200016.xlsx,2000000.0,936000.0
119-1106401907100594.xlsx,600.0,2970.0
12-1106400804210370.xlsx,12000.0,67200.0
120-1106401406601159.xlsx,1800.0,1926.0
121-1106401406601035.xlsx,350.0,420.0
122-1106401406601191.xlsx,300.0,4380.0
123-1106401406601086.xlsx,8500.0,8415.0
124-1106400101100031.xlsx,10500000.0,1785000.0000000002
125-1106400101100023.xlsx,1800000.0,311400.0
126-1106400101100112.xlsx,15600.0,70200.0
127-1106400101100015.xlsx,2400.0,2160.0
128-1106400804210507.xlsx,278.0,2849.5
129-1106400402300218.xlsx, , 
13-1106400804200021.xlsx,21600000.0,518400.0
130-1106400402300226.xlsx, , 
14-1106401900102290.xlsx,800.0,3920.0000000000005
15 -1119500101100062.xlsx,12500.0,2112500.0
16-1106401900102303.xlsx,800.0,6440.000000000001
17 - 1119500100441044.xlsx,850.0,10200.0
18 - 1119500100441125.xlsx,1500.0,27000.0
19-1106400301700156.xlsx,5000.0,34900.0
20-1106401907102074.xlsx,error,error
21 - 1106401907100012.xlsx,1500000.0,199350.0
22-1106401907100071.xlsx,3600.0,6444.0
23-1106401005400012.xlsx,240000.0,247200.0
24-1106401005400357.xlsx,400000.0,151840.0
25-1106401406601183.xlsx,320.0,2508.8
26 - 1106401406600098.xlsx,20000.0,362000.0
27 -1107000500201413.xlsx,752400.0,662112.0
28 -1106401406600071.xlsx,55000.0,152350.0
29-1106401907100080.xlsx,12000.0,3600.0
30-1106401907102384.xlsx,2500000.0,810000.0
31-1106400100200202.xlsx,480.0,5208.0
32- 1106401506700094.xlsx,24000000.0,948000.0
33-1106401005200013.xlsx,1000.0,1400.0
34-1106401005200030.xlsx,1000.0,627.6
35-1106400603000114.xlsx,20000.0,13113.999999999998
36-1106400301700059.xlsx,6800000.0,1266840.0
37-1106400301700040.xlsx,16000.0,28000.0
38-1106400100600030.xlsx,36000000.0,1191600.0
39 - 1106400100600480.xlsx,600000.0,89700.0
40- 100401005200048.xlsx,1200000.0,3347040.0
41 -1106401005200315.xlsx,36000000.0,3456000.0
43 - 1106400301800770.xlsx,3500000.0,122150.0
44 -1106400301800703.xlsx,101000000.0,2828000.0
45-1106401006200440.xlsx,213300.0, 
46-1106402700100138.xlsx,1407390.0, 
47 -1106400201400193.xlsx,74400000.0,1793040.0
48-1106400302200327.xlsx,360000.0,93600.0
49-1106400100800102.xlsx,3000.0,20211.0
50 - 1106400201500015.xlsx,30000.0,7410.0
51-1106401807000113.xlsx,600.0,3570.0
52 -1106401005201265.xlsx,700000.0,1225000.0
53 - 1106401005201176.xlsx,6000000.0,2136000.0
54 - 1119500100400720.xlsx,150.0,1467.0
55 -1106400904500167.xlsx,160000.0,3520000.0
56 -1106400904500175.xlsx,600000.0,3704220.0
57 - 1106400904501066.xlsx,50000.0,1175000.0
58 -1106401005200412.xlsx,1000000.0,3190000.0
59 -1106401005200420.xlsx,50000.0,30000.0
60 - 1106401005200471.xlsx,100000.0,176000.0
61 - 1106401005700040.xlsx,40000.0,69360.0
62-1106400904500205.xlsx,3000.0,14790.0
63-1106400804100035.xlsx,6500.0,4225.0
64-1106400804101066.xlsx,4000.0,51280.0
65-1106400100700019.xlsx,12000000.0,2040000.0000000002
66-1106400100700043.xlsx,2000.0,3012.6
67-1106400704000039.xlsx,16000.0,1920.0
68-1106401807000121.xlsx,24000.0,81336.0
69-1106400100300029.xlsx,2000.0,10786.0
70-1106400100300185.xlsx,3000.0,9300.0
71-1106400100300550.xlsx,1000.0,6200.0
72-1106400100300037.xlsx,2000.0,5960.0
73-1106400100600359 BUPROPIONA 150MG.xlsx, , 
73_110640010060035-9 UNIDADES BUPROPIONA.xls,error,error
74-1106400905000192.xlsx,1065.0,13845.0
75 1106400301800223.xlsx,1250000000.0,26124999.999999996
76-1106400100500125.xlsx,100000.0,516740.0
77-1106400100500141.xlsx,40000000.0,3180000.0
78-1106400100500133.xlsx,650000.0,130520.0
79-1106400804100965.xlsx,8800000.0,807840.0
80-1106400100600120.xlsx,9900000.0,890009.9999999999
81-1106400301800053.xlsx,22000000.0,1606000.0
82-1106400301800045.xlsx,14000000.0,719600.0
83-1106401005200153.xlsx,800000.0,2800000.0
84-1106401005200137.xlsx,20000000.0,3360000.0
85-1106401005201249.xlsx,5000.0,17450.0
87-1106401005200781.xlsx,error,error
88-1106400100200105.xlsx,1200.0,26400.0
89-1106401006000441.xlsx,700000.0,790999.9999999999
90-1106401506700744.xlsx,3500.0,9205.0
91-1106401506700787.xlsx,700000.0,979999.9999999999
92-1106400804200293.xlsx,45000.0,190800.0
93-1106401807000245.xlsx,720.0,4039.2000000000003
94-1106401005202326.xlsx,1200.0,2244.0
95-1106401005200625.xlsx,12000000.0,1798800.0
96-1106400904800047.xlsx, , 
97-1106401005200072.xlsx,120000.0,3478800.0
98-1106401005201060.xlsx,4400000.0,2772000.0
99-1106401005202440.xlsx,2200000.0,25790380.0
